,id,words,idf
5067,5067,ligon,8.107834890697795
5058,5058,lidée,8.107834890697795
5131,5131,loccasion,8.107834890697795
5057,5057,licorne,8.107834890697795
5056,5056,libéré,8.107834890697795
5054,5054,libérateur,8.107834890697795
5051,5051,librement,8.107834890697795
5047,5047,libertarienne,8.107834890697795
5043,5043,lgbt,8.107834890697795
5042,5042,leçon,8.107834890697795
5041,5041,leyde,8.107834890697795
5039,5039,lexemple,8.107834890697795
5038,5038,lexcellente,8.107834890697795
5084,5084,linstitution,8.107834890697795
5085,5085,lintellectuel,8.107834890697795
5088,5088,liqueur,8.107834890697795
5089,5089,liquide,8.107834890697795
5130,5130,locataire,8.107834890697795
5128,5128,local,8.107834890697795
5126,5126,lm,8.107834890697795
5125,5125,lloyd,8.107834890697795
5121,5121,lièvre,8.107834890697795
5120,5120,livrée,8.107834890697795
5118,5118,livret,8.107834890697795
5117,5117,livres,8.107834890697795
5116,5116,livrent,8.107834890697795
5114,5114,living,8.107834890697795
5109,5109,liturgical,8.107834890697795
5107,5107,littéralistes,8.107834890697795
5105,5105,littérale,8.107834890697795
5103,5103,littéraire,8.107834890697795
5102,5102,litt,8.107834890697795
5101,5101,litre,8.107834890697795
5099,5099,listés,8.107834890697795
5095,5095,lise,8.107834890697795
5093,5093,lisais,8.107834890697795
5092,5092,lirez,8.107834890697795
5090,5090,liraient,8.107834890697795
5621,5621,mystere,8.107834890697795
5627,5627,mythe,8.107834890697795
3316,3316,exceptionnellement,8.107834890697795
6251,6251,penche,8.107834890697795
6275,6275,percevoir,8.107834890697795
6274,6274,perception,8.107834890697795
6273,6273,per,8.107834890697795
6272,6272,pepisteukos,8.107834890697795
6270,6270,pentecôtiste,8.107834890697795
6265,6265,pension,8.107834890697795
6262,6262,penses,8.107834890697795
6255,6255,pend,8.107834890697795
6254,6254,penché,8.107834890697795
6253,6253,pencherais,8.107834890697795
6250,6250,penchant,8.107834890697795
6278,6278,perdions,8.107834890697795
6249,6249,pen,8.107834890697795
6248,6248,pella,8.107834890697795
6247,6247,peinte,8.107834890697795
6240,6240,pedo,8.107834890697795
6239,6239,pedem,8.107834890697795
6238,6238,pecheraient,8.107834890697795
6237,6237,peccatis,8.107834890697795
6236,6236,pdfs,8.107834890697795
6235,6235,pdf,8.107834890697795
6232,6232,payé,8.107834890697795
6277,6277,perde,8.107834890697795
6280,6280,perdons,8.107834890697795
6228,6228,pause,8.107834890697795
6305,6305,perplexes,8.107834890697795
6321,6321,personnes,8.107834890697795
6320,6320,personnenature,8.107834890697795
6315,6315,personnalité,8.107834890697795
6313,6313,personalism,8.107834890697795
6312,6312,personae,8.107834890697795
6311,6311,persister,8.107834890697795
6310,6310,persistance,8.107834890697795
6309,6309,perpétuent,8.107834890697795
6308,6308,perpétuellement,8.107834890697795
6306,6306,perpétuel,8.107834890697795
6304,6304,perpetuelle,8.107834890697795
6281,6281,perdra,8.107834890697795
6303,6303,permission,8.107834890697795
6299,6299,permettez,8.107834890697795
6297,6297,permettait,8.107834890697795
6294,6294,permanente,8.107834890697795
6291,6291,perietmêthête,8.107834890697795
6290,6290,perfectionnés,8.107834890697795
6289,6289,perfectionnée,8.107834890697795
6288,6288,perfectionnement,8.107834890697795
6285,6285,perdure,8.107834890697795
6284,6284,perdue,8.107834890697795
6231,6231,paysan,8.107834890697795
6227,6227,paume,8.107834890697795
6324,6324,perspicuité,8.107834890697795
6124,6124,parleras,8.107834890697795
6148,6148,parthe,8.107834890697795
6146,6146,parte,8.107834890697795
6143,6143,partagerais,8.107834890697795
6142,6142,partagera,8.107834890697795
6136,6136,paroles,8.107834890697795
6134,6134,paroissien,8.107834890697795
6133,6133,paroisse,8.107834890697795
6129,6129,parlions,8.107834890697795
6127,6127,parles,8.107834890697795
6125,6125,parlerez,8.107834890697795
6123,6123,parlerait,8.107834890697795
6157,6157,participons,8.107834890697795
6122,6122,parlerais,8.107834890697795
6115,6115,parlais,8.107834890697795
6113,6113,parla,8.107834890697795
6112,6112,parking,8.107834890697795
6111,6111,parier,8.107834890697795
6106,6106,parfaitehttpswwwunherautdanslenetetudes,8.107834890697795
6103,6103,parents,8.107834890697795
6098,6098,pardonné,8.107834890697795
6097,6097,pardonnera,8.107834890697795
6092,6092,paraître,8.107834890697795
6156,6156,participera,8.107834890697795
6169,6169,partiellement,8.107834890697795
6226,6226,pauls,8.107834890697795
6196,6196,passiez,8.107834890697795
6224,6224,patristiques,8.107834890697795
6221,6221,patrick,8.107834890697795
6220,6220,patriarche,8.107834890697795
6219,6219,patriarcat,8.107834890697795
6217,6217,patientez,8.107834890697795
6215,6215,patient,8.107834890697795
6213,6213,patiemment,8.107834890697795
6211,6211,paternel,8.107834890697795
6207,6207,pastor,8.107834890697795
6199,6199,passionne,8.107834890697795
6194,6194,passerait,8.107834890697795
6172,6172,partit,8.107834890697795
6193,6193,passera,8.107834890697795
6191,6191,passent,8.107834890697795
6188,6188,passaient,8.107834890697795
6187,6187,passages,8.107834890697795
6186,6186,passager,8.107834890697795
6184,6184,passable,8.107834890697795
6183,6183,pass,8.107834890697795
6179,6179,parviennent,8.107834890697795
6178,6178,parvienne,8.107834890697795
6175,6175,parure,8.107834890697795
6322,6322,personnetrois,8.107834890697795
6325,6325,persuade,8.107834890697795
5628,5628,mythique,8.107834890697795
6452,6452,pointillés,8.107834890697795
6464,6464,pontificat,8.107834890697795
6463,6463,ponctuer,8.107834890697795
6462,6462,polémique,8.107834890697795
6460,6460,polity,8.107834890697795
6459,6459,politologie,8.107834890697795
6457,6457,politics,8.107834890697795
6456,6456,polhill,8.107834890697795
6455,6455,polanus,8.107834890697795
6454,6454,poitiers,8.107834890697795
6453,6453,poison,8.107834890697795
6449,6449,pointait,8.107834890697795
6469,6469,pornographe,8.107834890697795
6446,6446,poignet,8.107834890697795
6445,6445,poids,8.107834890697795
6444,6444,podcasthttpswwwleboncombatfrcalviniste,8.107834890697795
6443,6443,podcast,8.107834890697795
6442,6442,plûme,8.107834890697795
6437,6437,pluriel,8.107834890697795
6436,6436,pluraliste,8.107834890697795
6434,6434,plume,8.107834890697795
6433,6433,pluie,8.107834890697795
6431,6431,plonger,8.107834890697795
6465,6465,pool,8.107834890697795
6470,6470,portant,8.107834890697795
6425,6425,plaçait,8.107834890697795
6498,6498,possiblement,8.107834890697795
6517,6517,potentia,8.107834890697795
6515,6515,posé,8.107834890697795
6512,6512,postuler,8.107834890697795
6511,6511,postulat,8.107834890697795
6510,6510,postlapsaire,8.107834890697795
6509,6509,poster,8.107834890697795
6508,6508,poste,8.107834890697795
6505,6505,posséderaient,8.107834890697795
6504,6504,posséder,8.107834890697795
6500,6500,possibleshttpsphileosophiablogwordpresscomthomas,8.107834890697795
6491,6491,positive,8.107834890697795
6474,6474,porterez,8.107834890697795
6490,6490,positionnement,8.107834890697795
6487,6487,posera,8.107834890697795
6485,6485,posent,8.107834890697795
6483,6483,posant,8.107834890697795
6482,6482,posais,8.107834890697795
6479,6479,portrait,8.107834890697795
6478,6478,portion,8.107834890697795
6477,6477,porteuse,8.107834890697795
6476,6476,porteur,8.107834890697795
6475,6475,porteront,8.107834890697795
6430,6430,pli,8.107834890697795
6424,6424,plausible,8.107834890697795
6326,6326,persuadera,8.107834890697795
6347,6347,petto,8.107834890697795
6371,6371,philosopherisme,8.107834890697795
6368,6368,philistin,8.107834890697795
6367,6367,philippine,8.107834890697795
6363,6363,phileo,8.107834890697795
6362,6362,philemon,8.107834890697795
6361,6361,philadelphia,8.107834890697795
6360,6360,pheasant,8.107834890697795
6359,6359,phase,8.107834890697795
6357,6357,pharisaïque,8.107834890697795
6354,6354,peyrat,8.107834890697795
6343,6343,pestez,8.107834890697795
6375,6375,philosophiquement,8.107834890697795
6340,6340,perçus,8.107834890697795
6339,6339,perçue,8.107834890697795
6338,6338,pervers,8.107834890697795
6337,6337,pertinents,8.107834890697795
6333,6333,persévérons,8.107834890697795
6332,6332,persévérer,8.107834890697795
6330,6330,persévère,8.107834890697795
6329,6329,persécution,8.107834890697795
6328,6328,persécuteur,8.107834890697795
6327,6327,persuadé,8.107834890697795
6372,6372,philosophical,8.107834890697795
6379,6379,php,8.107834890697795
6423,6423,platonisme,8.107834890697795
6406,6406,placera,8.107834890697795
6422,6422,platon,8.107834890697795
6421,6421,platinga,8.107834890697795
6419,6419,planté,8.107834890697795
6416,6416,plait,8.107834890697795
6414,6414,plaisent,8.107834890697795
6413,6413,plaie,8.107834890697795
6412,6412,plaider,8.107834890697795
6410,6410,plaidant,8.107834890697795
6409,6409,placées,8.107834890697795
6408,6408,placée,8.107834890697795
6403,6403,piété,8.107834890697795
6385,6385,phénoménale,8.107834890697795
6402,6402,piémontais,8.107834890697795
6401,6401,pitié,8.107834890697795
6398,6398,piquer,8.107834890697795
6395,6395,pinacle,8.107834890697795
6394,6394,pile,8.107834890697795
6393,6393,pieusement,8.107834890697795
6392,6392,pieu,8.107834890697795
6389,6389,picturales,8.107834890697795
6388,6388,pictorial,8.107834890697795
6386,6386,phérésiens,8.107834890697795
6090,6090,paraphraser,8.107834890697795
6088,6088,parallélisme,8.107834890697795
6082,6082,paradoxalement,8.107834890697795
5756,5756,nommons,8.107834890697795
5782,5782,nourissonshttpsparlafoifrtagnourissons,8.107834890697795
5780,5780,notre,8.107834890697795
5779,5779,notoriété,8.107834890697795
5777,5777,notoirement,8.107834890697795
5769,5769,nostrae,8.107834890697795
5768,5768,nostalgie,8.107834890697795
5765,5765,normative,8.107834890697795
5762,5762,normale,8.107834890697795
5758,5758,noms,8.107834890697795
5757,5757,nommé,8.107834890697795
5755,5755,nommions,8.107834890697795
5784,5784,nourrirai,8.107834890697795
5752,5752,nominaliste,8.107834890697795
5747,5747,noire,8.107834890697795
5746,5746,noir,8.107834890697795
5745,5745,noe,8.107834890697795
5744,5744,noblesse,8.107834890697795
5742,5742,noachique,8.107834890697795
5739,5739,nièrent,8.107834890697795
5737,5737,nirvana,8.107834890697795
5731,5731,nicoletti,8.107834890697795
5730,5730,nicodème,8.107834890697795
5783,5783,nourri,8.107834890697795
5786,5786,nourrissait,8.107834890697795
5726,5726,newton,8.107834890697795
5816,5816,numériquement,8.107834890697795
5844,5844,obey,8.107834890697795
5843,5843,obed,8.107834890697795
5842,5842,obadiah,8.107834890697795
5837,5837,néo,8.107834890697795
5835,5835,négligé,8.107834890697795
5834,5834,négliger,8.107834890697795
5833,5833,négligence,8.107834890697795
5829,5829,néfaste,8.107834890697795
5824,5824,nécessairehttpsparlafoifrla,8.107834890697795
5822,5822,néant,8.107834890697795
5815,5815,nullement,8.107834890697795
5788,5788,nourrit,8.107834890697795
5807,5807,nu,8.107834890697795
5806,5806,ntwright,8.107834890697795
5805,5805,nt,8.107834890697795
5803,5803,noyau,8.107834890697795
5801,5801,novice,8.107834890697795
5799,5799,november,8.107834890697795
5798,5798,novateur,8.107834890697795
5795,5795,nouveaux,8.107834890697795
5792,5792,nouus,8.107834890697795
5791,5791,noushttpsphileosophiablogwordpresscomthomas,8.107834890697795
5727,5727,nextstep,8.107834890697795
5724,5724,neuvième,8.107834890697795
6081,6081,paradigme,8.107834890697795
5648,5648,médiévales,8.107834890697795
5662,5662,méprisé,8.107834890697795
5661,5661,mépriser,8.107834890697795
5660,5660,méprisant,8.107834890697795
5659,5659,mépris,8.107834890697795
5658,5658,méprendre,8.107834890697795
5657,5657,ménage,8.107834890697795
5656,5656,mémoriser,8.107834890697795
5655,5655,mémorisation,8.107834890697795
5651,5651,mégaphone,8.107834890697795
5650,5650,mégachurch,8.107834890697795
5645,5645,médium,8.107834890697795
5666,5666,méritent,8.107834890697795
5644,5644,méditerranée,8.107834890697795
5643,5643,médite,8.107834890697795
5642,5642,médiatrice,8.107834890697795
5641,5641,médiation,8.107834890697795
5637,5637,médecin,8.107834890697795
5635,5635,méchanceté,8.107834890697795
5634,5634,mécanique,8.107834890697795
5633,5633,mécanicien,8.107834890697795
5630,5630,mâle,8.107834890697795
5629,5629,mythologie,8.107834890697795
5663,5663,méritaient,8.107834890697795
5670,5670,métaphoriquement,8.107834890697795
5720,5720,neurosciences,8.107834890697795
5701,5701,naziance,8.107834890697795
5719,5719,neuroscience,8.107834890697795
5718,5718,neuf,8.107834890697795
